"Activation","فعال‌سازی"
"Contact","تماس"
"Email Address","آدرس ایمیل"
"Extension Registration","ثبت اکستنشن"
"Full Name","نام کامل"
"Information","اطلاعات"
"Installed Extensions","اکستنشن‌های نصب شده"
"Registration Code","کد ثبت"
"Serial Number","شماره سریال"
"CODNITIVE Information","اطلاعات CODNITIVE"
"Multilingual SEF URL","SEF URL چندزبانه"
"SEO","سئو"
"Configuration","پیکربندی"
"Allow Everything","همه چیز مجاز"
"Enabled","ممکن‌شده"
"Yes","بله"
"No","خیر"
"%s is required.","%s الزامی است."
"%s is not valid.","%s معتبر نیست."
"%s is not registered.","%s ثبت نشده است."
"%s save error. Please try again later.","خطای ذخیره سازی %s. لطفا بعدا دوباره تلاش کنید."
" or registration information for"," یا اطلاعات ثبت برای"
" is not valid. Please check them or %s"," معتبر نیست. لطفا آن‌ها را بررسی کنید یا %s"
"contact us.","با ما تماس بگیرید."
